name,gender,email,is_active
Miss Bhishma Arora,male,miss_arora_bhishma@heidenreich.com,inactive
Divya Khan,female,khan_divya@lindgren-considine.net,active
Dhaanyalakshmi Trivedi,female,trivedi_dhaanyalakshmi@bartoletti-beahan.name,inactive
Jagdish Chattopadhyay,female,jagdish_chattopadhyay@zulauf.biz,active
Gov. Devesh Ahluwalia,male,gov_ahluwalia_devesh@hackett-quigley.co,active
Siddhi Mishra,male,mishra_siddhi@quitzon.net,inactive
Ramesh Deshpande VM,female,ramesh_deshpande_vm@beier.io,inactive
The Hon. Bhagirathi Kakkar,male,hon_bhagirathi_the_kakkar@sanford.co,inactive
Gov. Arya Abbott,female,gov_arya_abbott@price-tremblay.name,active
Bheeshma Embranthiri,male,embranthiri_bheeshma@schumm.org,inactive
